dbn,school_name,sat_reading_avg,sat_math_avg,sat_writing_avg,num_test_takers,sat_total_avg,processed_at,data_version
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,355.0,404.0,363.0,29,1122.0,2025-08-07 22:52:50.602068,production_v1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,383.0,423.0,366.0,91,1172.0,2025-08-07 22:52:50.602068,production_v1
01M450,EAST SIDE COMMUNITY SCHOOL,377.0,402.0,370.0,70,1149.0,2025-08-07 22:52:50.602068,production_v1
01M458,FORSYTH SATELLITE ACADEMY,414.0,401.0,359.0,7,1174.0,2025-08-07 22:52:50.602068,production_v1
01M509,MARTA VALLE HIGH SCHOOL,390.0,433.0,384.0,44,1207.0,2025-08-07 22:52:50.602068,production_v1
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,332.0,557.0,316.0,112,1205.0,2025-08-07 22:52:50.602068,production_v1
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",522.0,574.0,525.0,159,1621.0,2025-08-07 22:52:50.602068,production_v1
01M650,CASCADES HIGH SCHOOL,417.0,418.0,411.0,18,1246.0,2025-08-07 22:52:50.602068,production_v1
01M696,BARD HIGH SCHOOL EARLY COLLEGE,624.0,604.0,628.0,130,1856.0,2025-08-07 22:52:50.602068,production_v1
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,395.0,400.0,387.0,16,1182.0,2025-08-07 22:52:50.602068,production_v1
02M288,FOOD AND FINANCE HIGH SCHOOL,409.0,393.0,392.0,62,1194.0,2025-08-07 22:52:50.602068,production_v1
02M294,ESSEX STREET ACADEMY,394.0,384.0,378.0,53,1156.0,2025-08-07 22:52:50.602068,production_v1
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,374.0,375.0,362.0,58,1111.0,2025-08-07 22:52:50.602068,production_v1
02M298,PACE HIGH SCHOOL,423.0,438.0,432.0,85,1293.0,2025-08-07 22:52:50.602068,production_v1
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",404.0,449.0,416.0,48,1269.0,2025-08-07 22:52:50.602068,production_v1
02M303,"FACING HISTORY SCHOOL, THE",353.0,358.0,340.0,76,1051.0,2025-08-07 22:52:50.602068,production_v1
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",375.0,388.0,385.0,50,1148.0,2025-08-07 22:52:50.602068,production_v1
02M308,LOWER MANHATTAN ARTS ACADEMY,403.0,392.0,405.0,40,1200.0,2025-08-07 22:52:50.602068,production_v1
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",408.0,390.0,390.0,69,1188.0,2025-08-07 22:52:50.602068,production_v1
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",373.0,370.0,384.0,42,1127.0,2025-08-07 22:52:50.602068,production_v1
02M374,GRAMERCY ARTS HIGH SCHOOL,391.0,391.0,394.0,60,1176.0,2025-08-07 22:52:50.602068,production_v1
02M376,NYC ISCHOOL,473.0,483.0,479.0,92,1435.0,2025-08-07 22:52:50.602068,production_v1
02M394,EMMA LAZARUS HIGH SCHOOL,319.0,512.0,357.0,79,1188.0,2025-08-07 22:52:50.602068,production_v1
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,465.0,493.0,461.0,263,1419.0,2025-08-07 22:52:50.602068,production_v1
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,492.0,465.0,467.0,54,1424.0,2025-08-07 22:52:50.602068,production_v1
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,509.0,490.0,523.0,94,1522.0,2025-08-07 22:52:50.602068,production_v1
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,496.0,563.0,518.0,104,1577.0,2025-08-07 22:52:50.602068,production_v1
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,537.0,590.0,550.0,114,1677.0,2025-08-07 22:52:50.602068,production_v1
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,517.0,533.0,515.0,66,1565.0,2025-08-07 22:52:50.602068,production_v1
02M414,N.Y.C. MUSEUM SCHOOL,468.0,492.0,459.0,103,1419.0,2025-08-07 22:52:50.602068,production_v1
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,572.0,594.0,592.0,127,1758.0,2025-08-07 22:52:50.602068,production_v1
02M418,MILLENNIUM HIGH SCHOOL,528.0,553.0,533.0,144,1614.0,2025-08-07 22:52:50.602068,production_v1
02M419,LANDMARK HIGH SCHOOL,390.0,399.0,381.0,62,1170.0,2025-08-07 22:52:50.602068,production_v1
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,429.0,449.0,428.0,336,1306.0,2025-08-07 22:52:50.602068,production_v1
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,416.0,426.0,391.0,84,1233.0,2025-08-07 22:52:50.602068,production_v1
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,356.0,357.0,349.0,29,1062.0,2025-08-07 22:52:50.602068,production_v1
02M439,MANHATTAN VILLAGE ACADEMY,441.0,473.0,458.0,95,1372.0,2025-08-07 22:52:50.602068,production_v1
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,378.0,365.0,368.0,59,1111.0,2025-08-07 22:52:50.602068,production_v1
02M449,VANGUARD HIGH SCHOOL,395.0,416.0,388.0,72,1199.0,2025-08-07 22:52:50.602068,production_v1
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,376.0,460.0,391.0,49,1227.0,2025-08-07 22:52:50.602068,production_v1
02M460,WASHINGTON IRVING HIGH SCHOOL,373.0,387.0,360.0,151,1120.0,2025-08-07 22:52:50.602068,production_v1
02M475,STUYVESANT HIGH SCHOOL,679.0,735.0,682.0,832,2096.0,2025-08-07 22:52:50.602068,production_v1
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,443.0,489.0,442.0,167,1374.0,2025-08-07 22:52:50.602068,production_v1
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,370.0,349.0,351.0,25,1070.0,2025-08-07 22:52:50.602068,production_v1
02M519,TALENT UNLIMITED HIGH SCHOOL,469.0,472.0,475.0,81,1416.0,2025-08-07 22:52:50.602068,production_v1
